,date,offense,latitude,longitude
275,1/25/2021,Assault Offenses,Not Available,Not Available
276,1/25/2021,Larceny Offenses,Not Available,Not Available
277,1/26/2021,Assault Offenses,Not Available,Not Available
278,1/9/2021,Kidnapping/Abduction,Not Available,Not Available
279,1/26/2021,Assault Offenses,Not Available,Not Available
280,1/26/2021,Assault Offenses,Not Available,Not Available
281,1/26/2021,Assault Offenses,Not Available,Not Available
282,1/26/2021,Assault Offenses,Not Available,Not Available
283,1/26/2021,Assault Offenses,Not Available,Not Available
284,1/26/2021,Assault Offenses,Not Available,Not Available
285,1/26/2021,Assault Offenses,Not Available,Not Available
286,1/26/2021,Assault Offenses,Not Available,Not Available
287,1/26/2021,Assault Offenses,Not Available,Not Available
288,1/26/2021,Vandalism,Not Available,Not Available
289,1/27/2021,Assault Offenses,Not Available,Not Available
290,1/26/2021,Sex Offenses,Not Available,Not Available
291,1/24/2021,Sex Offenses,Not Available,Not Available
292,1/3/2021,Larceny Offenses,Not Available,Not Available
293,1/24/2021,Sex Offenses,Not Available,Not Available
294,1/21/2021,Sex Offenses,Not Available,Not Available
295,1/27/2021,Assault Offenses,Not Available,Not Available
296,1/27/2021,Assault Offenses,Not Available,Not Available
297,1/27/2021,Kidnapping/Abduction,Not Available,Not Available
298,1/26/2021,Assault Offenses,Not Available,Not Available
299,1/27/2021,Sex Offenses,Not Available,Not Available
300,1/27/2021,Assault Offenses,Not Available,Not Available
301,1/27/2021,Assault Offenses,Not Available,Not Available
302,1/27/2021,Motor Vehicle Theft,Not Available,Not Available
303,1/27/2021,Assault Offenses,Not Available,Not Available
304,1/27/2021,Assault Offenses,Not Available,Not Available
305,1/28/2021,Assault Offenses,Not Available,Not Available
306,1/28/2021,Assault Offenses,Not Available,Not Available
307,1/28/2021,Assault Offenses,Not Available,Not Available
308,1/26/2021,Assault Offenses,Not Available,Not Available
309,1/28/2021,Robbery,Not Available,Not Available
310,1/28/2021,Assault Offenses,Not Available,Not Available
311,1/28/2021,Assault Offenses,Not Available,Not Available
312,1/28/2021,Assault Offenses,Not Available,Not Available
313,1/28/2021,Assault Offenses,Not Available,Not Available
314,1/28/2021,Weapon Law Violations,Not Available,Not Available
315,1/28/2021,Kidnapping/Abduction,Not Available,Not Available
316,1/29/2021,Assault Offenses,Not Available,Not Available
317,1/29/2021,Assault Offenses,Not Available,Not Available
318,1/28/2021,Assault Offenses,Not Available,Not Available
319,1/14/2021,Larceny Offenses,Not Available,Not Available
320,1/29/2021,Assault Offenses,Not Available,Not Available
321,1/29/2021,Vandalism,Not Available,Not Available
322,1/17/2021,Vandalism,Not Available,Not Available
323,1/17/2021,Assault Offenses,Not Available,Not Available
324,1/29/2021,Assault Offenses,Not Available,Not Available
325,1/29/2021,Assault Offenses,Not Available,Not Available
326,1/5/2021,Assault Offenses,Not Available,Not Available
327,1/29/2021,Assault Offenses,Not Available,Not Available
328,1/9/2021,Assault Offenses,Not Available,Not Available
329,1/9/2021,Vandalism,Not Available,Not Available
330,1/30/2021,Assault Offenses,Not Available,Not Available
331,1/30/2021,Assault Offenses,Not Available,Not Available
332,1/30/2021,Assault Offenses,Not Available,Not Available
333,1/30/2021,Assault Offenses,Not Available,Not Available
334,1/30/2021,Assault Offenses,Not Available,Not Available
335,1/30/2021,Assault Offenses,Not Available,Not Available
336,1/30/2021,Assault Offenses,Not Available,Not Available
337,1/15/2021,Assault Offenses,Not Available,Not Available
338,1/15/2021,Robbery,Not Available,Not Available
339,1/15/2021,Larceny Offenses,Not Available,Not Available
340,1/15/2021,Sex Offenses,Not Available,Not Available
341,1/15/2021,Sex Offenses,Not Available,Not Available
342,1/14/2021,Sex Offenses,Not Available,Not Available
343,1/14/2021,Robbery,Not Available,Not Available
344,1/7/2021,Larceny Offenses,Not Available,Not Available
345,1/31/2021,Assault Offenses,Not Available,Not Available
346,1/31/2021,Assault Offenses,Not Available,Not Available
347,1/31/2021,Assault Offenses,Not Available,Not Available
348,1/27/2021,Kidnapping/Abduction,Not Available,Not Available
349,1/29/2021,Sex Offenses,Not Available,Not Available
350,1/30/2021,Sex Offenses,Not Available,Not Available
351,1/9/2021,Sex Offenses,Not Available,Not Available
352,1/10/2021,Sex Offenses,Not Available,Not Available
353,1/29/2021,Sex Offenses,Not Available,Not Available
354,1/17/2021,Sex Offenses,Not Available,Not Available
355,1/13/2021,Sex Offenses,Not Available,Not Available
356,1/19/2021,Sex Offenses,Not Available,Not Available
357,1/29/2021,Sex Offenses,Not Available,Not Available
358,1/31/2021,Homicide Offenses,Not Available,Not Available
359,1/31/2021,Assault Offenses,Not Available,Not Available
360,1/31/2021,Assault Offenses,Not Available,Not Available
361,1/27/2021,Assault Offenses,Not Available,Not Available
362,1/31/2021,Vandalism,Not Available,Not Available
363,1/29/2021,Assault Offenses,Not Available,Not Available
364,1/29/2021,Vandalism,Not Available,Not Available
365,1/31/2021,Assault Offenses,Not Available,Not Available
366,1/30/2021,Assault Offenses,Not Available,Not Available
367,1/31/2021,Assault Offenses,Not Available,Not Available
368,1/31/2021,Assault Offenses,Not Available,Not Available
369,1/31/2021,Assault Offenses,Not Available,Not Available
370,2/1/2021,Assault Offenses,Not Available,Not Available
371,1/7/2021,Burglary,Not Available,Not Available
372,1/8/2021,Burglary,Not Available,Not Available
373,1/12/2021,Burglary,Not Available,Not Available
374,1/31/2021,Robbery,Not Available,Not Available
375,1/16/2021,Pornography/Obscene Material,Not Available,Not Available
376,2/1/2021,Assault Offenses,Not Available,Not Available
377,2/1/2021,Assault Offenses,Not Available,Not Available
378,2/1/2021,Assault Offenses,Not Available,Not Available
379,2/1/2021,Assault Offenses,Not Available,Not Available
380,2/1/2021,Assault Offenses,Not Available,Not Available
381,2/1/2021,Assault Offenses,Not Available,Not Available
382,2/1/2021,Kidnapping/Abduction,Not Available,Not Available
383,2/1/2021,Assault Offenses,Not Available,Not Available
384,2/1/2021,Vandalism,Not Available,Not Available
385,2/2/2021,Assault Offenses,Not Available,Not Available
386,2/2/2021,Weapon Law Violations,Not Available,Not Available
387,1/24/2021,Assault Offenses,Not Available,Not Available
388,2/2/2021,Assault Offenses,Not Available,Not Available
389,2/2/2021,Burglary,Not Available,Not Available
390,2/1/2021,Larceny Offenses,Not Available,Not Available
391,2/2/2021,Assault Offenses,Not Available,Not Available
392,2/2/2021,Assault Offenses,Not Available,Not Available
393,2/2/2021,Assault Offenses,Not Available,Not Available
394,2/2/2021,Assault Offenses,Not Available,Not Available
395,2/2/2021,Assault Offenses,Not Available,Not Available
396,2/2/2021,Burglary,Not Available,Not Available
397,2/3/2021,Assault Offenses,Not Available,Not Available
398,1/19/2021,Assault Offenses,Not Available,Not Available
399,1/19/2021,Assault Offenses,Not Available,Not Available
400,2/2/2021,Assault Offenses,Not Available,Not Available
401,1/24/2021,Assault Offenses,Not Available,Not Available
402,1/30/2021,Assault Offenses,Not Available,Not Available
403,2/1/2021,Sex Offenses,Not Available,Not Available
404,2/3/2021,Assault Offenses,Not Available,Not Available
405,2/2/2021,Vandalism,Not Available,Not Available
406,2/3/2021,Assault Offenses,Not Available,Not Available
407,2/4/2021,Assault Offenses,Not Available,Not Available
408,2/3/2021,Assault Offenses,Not Available,Not Available
409,2/3/2021,Assault Offenses,Not Available,Not Available
410,2/3/2021,Larceny Offenses,Not Available,Not Available
411,2/4/2021,Sex Offenses,Not Available,Not Available
412,1/14/2021,Assault Offenses,Not Available,Not Available
413,2/4/2021,Assault Offenses,Not Available,Not Available
414,2/4/2021,Assault Offenses,Not Available,Not Available
415,2/4/2021,Assault Offenses,Not Available,Not Available
416,2/4/2021,Assault Offenses,Not Available,Not Available
417,1/10/2021,Larceny Offenses,Not Available,Not Available
418,2/5/2021,Motor Vehicle Theft,Not Available,Not Available
419,2/5/2021,Assault Offenses,Not Available,Not Available
420,2/5/2021,Assault Offenses,Not Available,Not Available
421,2/5/2021,Assault Offenses,Not Available,Not Available
422,2/5/2021,Assault Offenses,Not Available,Not Available
423,2/4/2021,Assault Offenses,Not Available,Not Available
424,2/4/2021,Vandalism,Not Available,Not Available
425,2/4/2021,Assault Offenses,Not Available,Not Available
426,2/5/2021,Homicide Offenses,Not Available,Not Available
427,2/5/2021,Vandalism,Not Available,Not Available
428,2/5/2021,Assault Offenses,Not Available,Not Available
429,2/4/2021,Assault Offenses,Not Available,Not Available
430,2/6/2021,Assault Offenses,Not Available,Not Available
431,2/6/2021,Sex Offenses,Not Available,Not Available
432,2/6/2021,Assault Offenses,Not Available,Not Available
433,2/6/2021,Assault Offenses,Not Available,Not Available
434,2/6/2021,Assault Offenses,Not Available,Not Available
435,2/6/2021,Assault Offenses,Not Available,Not Available
436,2/6/2021,Assault Offenses,Not Available,Not Available
437,2/6/2021,Assault Offenses,Not Available,Not Available
438,2/6/2021,Assault Offenses,Not Available,Not Available
439,2/6/2021,Vandalism,Not Available,Not Available
440,2/6/2021,Assault Offenses,Not Available,Not Available
441,2/6/2021,Assault Offenses,Not Available,Not Available
442,2/6/2021,Assault Offenses,Not Available,Not Available
443,2/6/2021,Assault Offenses,Not Available,Not Available
444,2/6/2021,Assault Offenses,Not Available,Not Available
445,2/6/2021,Assault Offenses,Not Available,Not Available
446,2/7/2021,Assault Offenses,Not Available,Not Available
447,2/7/2021,Assault Offenses,Not Available,Not Available
448,2/7/2021,Assault Offenses,Not Available,Not Available
449,2/7/2021,Assault Offenses,Not Available,Not Available
450,2/7/2021,Assault Offenses,Not Available,Not Available
451,2/7/2021,Assault Offenses,Not Available,Not Available
452,2/7/2021,Assault Offenses,Not Available,Not Available
453,1/16/2021,Assault Offenses,Not Available,Not Available
454,2/3/2021,Assault Offenses,Not Available,Not Available
455,2/6/2021,Assault Offenses,Not Available,Not Available
456,2/3/2021,Assault Offenses,Not Available,Not Available
457,2/7/2021,Assault Offenses,Not Available,Not Available
458,2/7/2021,Assault Offenses,Not Available,Not Available
459,2/6/2021,Assault Offenses,Not Available,Not Available
460,2/4/2021,Assault Offenses,Not Available,Not Available
461,2/5/2021,Assault Offenses,Not Available,Not Available
462,2/6/2021,Assault Offenses,Not Available,Not Available
463,2/7/2021,Sex Offenses,Not Available,Not Available
464,2/7/2021,Assault Offenses,Not Available,Not Available
465,2/6/2021,Robbery,Not Available,Not Available
466,1/18/2021,Burglary,Not Available,Not Available
467,1/18/2021,Larceny Offenses,Not Available,Not Available
468,2/3/2021,Assault Offenses,Not Available,Not Available
469,1/26/2021,Assault Offenses,Not Available,Not Available
470,2/7/2021,Assault Offenses,Not Available,Not Available
471,2/8/2021,Assault Offenses,Not Available,Not Available
472,2/8/2021,Assault Offenses,Not Available,Not Available
473,1/18/2021,Larceny Offenses,Not Available,Not Available
474,1/18/2021,Fraud Offenses,Not Available,Not Available
475,1/28/2021,Robbery,Not Available,Not Available
476,2/2/2021,Sex Offenses,Not Available,Not Available
477,2/9/2021,Assault Offenses,Not Available,Not Available
478,2/3/2021,Sex Offenses,Not Available,Not Available
479,2/6/2021,Sex Offenses,Not Available,Not Available
480,2/6/2021,Sex Offenses,Not Available,Not Available
481,2/8/2021,Assault Offenses,Not Available,Not Available
482,2/6/2021,Sex Offenses,Not Available,Not Available
483,2/7/2021,Sex Offenses,Not Available,Not Available
484,1/31/2021,Vandalism,Not Available,Not Available
485,1/31/2021,Vandalism,Not Available,Not Available
486,2/8/2021,Assault Offenses,Not Available,Not Available
487,2/8/2021,Weapon Law Violations,Not Available,Not Available
488,2/7/2021,Assault Offenses,Not Available,Not Available
489,2/9/2021,Assault Offenses,Not Available,Not Available
490,2/9/2021,Assault Offenses,Not Available,Not Available
491,2/9/2021,Assault Offenses,Not Available,Not Available
492,2/9/2021,Assault Offenses,Not Available,Not Available
493,2/9/2021,Assault Offenses,Not Available,Not Available
494,2/9/2021,Assault Offenses,Not Available,Not Available
495,2/9/2021,Assault Offenses,Not Available,Not Available
496,2/10/2021,Assault Offenses,Not Available,Not Available
497,1/22/2021,Sex Offenses,Not Available,Not Available
498,2/10/2021,Homicide Offenses,Not Available,Not Available
499,2/10/2021,Assault Offenses,Not Available,Not Available
500,2/10/2021,Assault Offenses,Not Available,Not Available
501,2/10/2021,Assault Offenses,Not Available,Not Available
502,2/10/2021,Vandalism,Not Available,Not Available
503,2/10/2021,Assault Offenses,Not Available,Not Available
504,2/10/2021,Weapon Law Violations,Not Available,Not Available
505,2/10/2021,Assault Offenses,Not Available,Not Available
506,1/23/2021,Burglary,Not Available,Not Available
507,2/11/2021,Assault Offenses,Not Available,Not Available
508,1/27/2021,Vandalism,Not Available,Not Available
509,2/12/2021,Assault Offenses,Not Available,Not Available
510,2/12/2021,Assault Offenses,Not Available,Not Available
511,2/12/2021,Assault Offenses,Not Available,Not Available
512,2/12/2021,Assault Offenses,Not Available,Not Available
513,1/24/2021,Assault Offenses,Not Available,Not Available
514,1/24/2021,Assault Offenses,Not Available,Not Available
515,2/2/2021,Vandalism,Not Available,Not Available
