latitude,longitude
58.4415517,16.6000046
42.99186046606585,-87.92549755112842
43.01629407507648,-87.956313086899
43.078401619328666,-87.92255942642844
42.9878783,-87.9049616
43.1055957,-88.0174292
43.12817302844252,-87.95984900007147
43.016772707317074,-87.96703490243902
43.06199665,-87.95913908581122
43.017205619047616,-87.9575809047619
43.0906551804169,-87.97222689093859
43.02481315,-87.91154907457965
43.09096314929155,-87.9893844303146
43.092405205020526,-87.97358551642876
43.024314,-87.933204
43.01391984190201,-87.92534517920964
43.11697752007539,-87.97761208884424
43.037729638564535,-87.94911249644706
43.082632,-87.973844
43.12396235733178,-87.99479886215653
43.15241640489997,-88.01805004716579
43.10474088519871,-88.0501085636377
43.072654543367925,-87.97599272156049
42.9608859,-87.91905373802041
43.07135,-87.997366
