,date,offense,latitude,longitude
1689,2019-01-10T23:48:39.000,CRIMINAL MISCHIEF,"{'latitude': '32.7276816005755', 'longitude': '-97.44067744528846', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3
1690,2019-01-10T23:55:00.000,PUBLIC INTOXICATION,"{'latitude': '32.75203874239643', 'longitude': '-97.35477393515538', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3
1691,2019-01-11T00:00:00.000,PENAL CODE,"{'latitude': '32.796835354276816', 'longitude': '-97.18117737640704', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18
1692,2019-01-11T00:00:00.000,BURGLARY VEHICLE,"{'latitude': '32.82631343492669', 'longitude': '-97.44669134348639', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
1693,2019-01-11T00:00:00.000,BURGLARY VEHICLE,"{'latitude': '32.790692750960105', 'longitude': '-97.22127729919316', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18
1694,2019-01-11T00:01:00.000,CRIMINAL MISCHIEF,"{'latitude': '32.763500233619105', 'longitude': '-97.22562762707469', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
1695,2019-01-11T00:01:00.000,SEX REGISTRATION,"{'latitude': '32.78291587855662', 'longitude': '-97.37651527745962', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
1696,2019-01-11T00:09:33.000,WEAPONS,"{'latitude': '32.68500850436027', 'longitude': '-97.3318060804058', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13
1697,2019-01-11T00:44:57.000,DWI,"{'latitude': '32.648045458598546', 'longitude': '-97.32131426646241', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13
1698,2019-01-11T01:10:00.000,CRIMINAL MISCHIEF,,20
1699,2019-01-11T01:54:07.000,ASSAULT,"{'latitude': '32.78825962003451', 'longitude': '-97.34922599109294', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3
1700,2019-01-11T02:35:00.000,AUTO THEFT,"{'latitude': '32.77306887830749', 'longitude': '-97.36165653015286', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
1701,2019-01-11T04:00:00.000,PENAL CODE,"{'latitude': '32.90323553491664', 'longitude': '-97.2784496010082', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
1702,2019-01-11T04:31:33.000,BURGLARY COMMERCIAL,"{'latitude': '32.73141146281166', 'longitude': '-97.21873280968778', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8
1703,2019-01-11T04:44:26.000,CRIMINAL MISCHIEF,"{'latitude': '32.71525208947099', 'longitude': '-97.39894739571028', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5
1704,2019-01-11T04:47:37.000,NARCOTIC VIOLATIONS,"{'latitude': '32.77668784347608', 'longitude': '-97.31557360612129', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",50
1705,2019-01-11T04:47:37.000,NARCOTIC VIOLATIONS,"{'latitude': '32.77668784347608', 'longitude': '-97.31557360612129', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",50
1706,2019-01-11T06:00:00.000,BURGLARY RESIDENTIAL,"{'latitude': '32.75902004455712', 'longitude': '-97.16081427379194', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
1707,2019-01-11T06:10:00.000,BURGLARY RESIDENTIAL,"{'latitude': '32.826094282391836', 'longitude': '-97.4492754430094', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
1708,2019-01-11T07:00:00.000,BURGLARY COMMERCIAL,"{'latitude': '32.70894440786632', 'longitude': '-97.27925193092982', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",25
