ReportedDateTime,Location,ZIP,RoughX,RoughY,Arson,AssaultOffense,Burglary,CriminalDamage,Homicide,LockedVehicle,Robbery,SexOffense,Theft,VehicleTheft
2022-09-21 11:00:00,1000 N 27TH ST,53208,2548607.557536172215,386993.501046899706,0,1,0,0,0,0,0,0,0,0
2022-09-21 10:30:00,2104 W COLFAX PL,53209,2550584.604065954220,411370.671027567238,0,1,0,0,0,0,0,0,0,0
2022-09-21 10:30:00,"","","","",0,0,0,0,0,0,0,0,0,1
2022-09-21 10:14:00,3827 N 24TH PL,53206,2549309.548595442437,402862.973795760423,0,1,0,1,0,0,0,0,0,0
2022-09-21 10:00:00,821 W STATE ST,53233,2555374.922036240809,387056.638636149466,0,0,0,0,0,0,0,0,0,1
2022-09-21 09:41:00,2906 S 20TH ST,53215,2551848.602153501008,369177.722257930785,0,0,0,0,0,0,0,0,0,1
2022-09-21 08:00:00,7708 W GERTRUDE DR,53218,2532035.353617405519,409787.868822406977,0,0,0,0,0,0,0,0,0,1
2022-09-21 07:58:00,7708 W GERTRUDE DR,53218,2532035.353617405519,409787.868822406977,0,0,0,0,0,0,0,0,0,1
2022-09-21 07:00:00,131 S 74TH ST,53214,2533448.784576012753,382089.692968439311,0,0,0,0,0,0,0,0,1,0
2022-09-21 07:00:00,3764 S 5TH PL,53207,2557181.022430381738,362657.549086775631,0,0,0,0,0,0,0,0,0,1
2022-09-21 07:00:00,333 E ERIE ST,53202,2559809.368366101291,382543.707313913852,0,0,0,0,0,0,0,0,0,1
2022-09-21 06:13:00,2117 W CENTER ST,53206,2550587.645947351120,395981.326688338071,0,0,1,0,0,0,0,0,0,0
2022-09-21 05:25:00,2972 N PROSPECT AV,53211,2566377.269737950061,398194.178223293275,0,0,0,0,0,0,1,0,0,0
2022-09-21 05:00:00,620 S 1ST ST,53204,2558548.640484116040,380513.740598931909,0,0,0,0,0,0,0,0,0,1
2022-09-21 03:57:00,2122 W BURNHAM ST,53204,2551054.134898625780,375175.734907671809,0,1,0,0,0,0,0,0,0,0
2022-09-21 03:26:02,823 E SAVELAND AV,53207,2562317.657878818456,362967.781103294343,0,0,0,1,0,0,0,0,0,0
2022-09-21 03:07:00,10831 W PARK PL,53224,2521189.378582384903,425243.428351756185,0,0,0,0,0,0,0,0,0,1
2022-09-21 02:57:41,2501 W KILBOURN AV,53233,2549232.732361325994,386398.932512301952,0,1,0,0,0,0,0,0,0,0
2022-09-21 02:01:00,5601 N LOVERS LANE RD,53225,2519134.409688322805,414166.031462162733,0,0,0,0,0,0,0,0,0,1
2022-09-21 00:01:00,4466 N 28TH ST,53209,2548025.224807393737,407158.032140396535,0,1,0,0,0,0,0,0,0,0
2022-09-20 22:55:10,5035 N 107TH ST,53225,2521674.463304859586,410328.755948539823,0,0,0,1,0,0,0,0,0,0
2022-09-20 22:15:00,10702 W BOBOLINK AV,53225,2521683.710490626283,416065.228912197053,0,0,1,0,0,0,0,0,0,0
2022-09-20 22:03:00,2329 W NORTH AV,53205,2550028.985922720283,393311.297866426408,0,0,1,0,0,0,0,0,0,0
2022-09-20 21:50:00,1518 W CONGRESS ST,53209,2552841.323691515252,406605.473691821098,0,1,0,0,0,0,0,0,0,0
2022-09-20 21:40:00,2061 W ATKINSON AV,53209,2550689.205953371245,404511.745189704001,0,1,0,0,0,0,0,0,0,0
2022-09-20 21:00:00,7283 W MARINE DR,53223,2532671.228025820572,437572.445239745080,0,0,1,0,0,0,0,0,0,0
2022-09-20 19:30:00,2500 W KILBOURN AV,53233,2549327.579369727522,386400.878669474274,0,0,0,0,0,0,0,0,1,0
2022-09-20 19:00:00,8029 W VILLARD AV,53218,2530885.855025679804,411604.781987078488,0,0,0,0,0,1,0,0,0,0
2022-09-20 19:00:00,6420 W MOLTKE AV,53210,2536306.392332453281,398047.024576578289,0,1,0,0,0,0,0,0,0,0
2022-09-20 18:50:00,111 E KILBOURN AV,53202,2558235.465613743290,386724.938503663987,0,0,0,0,0,0,0,0,0,1
2022-09-20 18:25:00,6725 W BIRCH AV,53218,2535294.373286088929,413669.210989926010,0,1,0,0,0,0,0,0,0,0
2022-09-20 18:15:00,2600 W PORT SUNLIGHT WA,53209,2548686.365658128168,406874.191608715802,0,1,0,0,0,0,0,0,0,0
2022-09-20 18:00:00,2331 W VIEAU PL,53204,2549987.137105732225,378571.913503535092,0,1,0,0,0,0,0,0,0,0
2022-09-20 18:00:00,9726 W BROWN DEER RD,53224,2524857.994304600172,436065.077252175659,0,1,0,0,0,0,0,0,0,0
2022-09-20 17:50:00,2235 N VEL R PHILLIPS AV,53212,2556801.615670721978,393391.636907629669,0,1,0,0,0,0,0,0,0,0
2022-09-20 16:55:00,1500 W CENTER ST,53206,2552624.989198210649,395995.217032425106,0,1,0,0,0,0,0,0,0,0
2022-09-20 16:40:00,8157 W SCRANTON PL,53218,2530491.421121003106,412953.487296894193,0,0,0,0,0,0,0,0,0,1
2022-09-20 16:30:00,6309 W APPLETON AV,53210,2536690.154178131837,398042.455321747810,0,0,0,0,0,0,0,0,0,1
2022-09-20 16:06:00,4939 W FOND DU LAC AV,53216,2540750.307620831765,403577.435268886387,0,1,0,0,0,0,0,0,0,0
2022-09-20 15:40:00,1017 N 12TH ST,53233,2553687.075844064821,387082.736884213984,0,1,0,0,0,0,0,0,0,0
2022-09-20 14:00:00,8949 N 97TH ST,53224,2524597.028360246215,436691.759569514543,0,1,0,0,0,0,0,0,0,0
2022-09-20 13:40:42,4516 N 44TH ST,53218,2542640.785441190936,407287.346327085048,0,1,0,0,0,0,0,0,0,0
2022-09-20 13:35:00,3939 W LISBON AV,53208,2544360.011265866458,391336.438003811985,0,0,0,0,0,0,0,0,0,1
2022-09-20 13:30:00,2700 N 54TH ST,53210,2539490.517566293478,395867.569288909435,0,0,0,0,0,0,0,0,0,1
2022-09-20 13:00:00,2006 W VLIET ST,53205,2551160.477350468282,388988.307170979679,0,1,0,0,0,0,0,0,0,0
2022-09-20 13:00:00,2121 N VEL R PHILLIPS AV,53212,2557029.767549738754,392688.254768315703,0,0,0,0,0,0,0,0,0,1
2022-09-20 12:45:00,4702 N 41ST ST,53209,2543817.568768204190,408483.763234093785,0,1,0,0,0,0,0,0,0,0
2022-09-20 12:40:46,3433 N RICHARDS ST,53212,2559002.208700493909,400998.687804900110,0,1,0,1,0,0,0,0,0,0
2022-09-20 12:15:00,801 E HOLT AV,53207,2562080.427245029248,365045.326428037137,0,1,0,0,0,0,0,0,0,0
2022-09-20 12:00:00,9620 W BEATRICE ST,53224,2524840.311549069360,436074.023351807147,0,1,0,0,0,0,0,0,0,0
2022-09-20 11:20:00,5800 W FOND DU LAC AV,53218,2537943.195924477652,406453.981679618359,0,1,0,0,0,0,0,0,0,0
2022-09-20 11:20:00,1748 S 19TH ST,53204,2551884.016450112686,375402.409852273762,0,1,0,0,0,0,0,0,0,0
2022-09-20 11:10:00,650 W RESERVOIR AV,53212,2555988.746832567733,391308.287111271173,0,0,0,0,0,0,0,0,0,1
2022-09-20 11:00:00,4771 N 40TH ST,53209,2544060.085518072359,409051.886609252542,0,1,0,0,0,0,0,0,0,0
2022-09-20 10:56:17,356 E CAPITOL DR,53212,2559297.379841642454,404008.940802685916,0,0,0,0,0,0,0,0,1,0
2022-09-20 10:00:00,2900 W OKLAHOMA AV,53215,2547972.209655554965,367893.851914986968,0,0,0,0,0,0,0,0,1,0
2022-09-20 09:45:00,2621 W PIERCE ST,53204,2548923.753355870955,380027.267681386322,0,0,0,0,0,0,0,0,1,0
2022-09-20 09:05:31,3763 S MASSACHUSETTS AV,53220,2534262.562311341055,362143.372474946082,0,0,0,0,0,1,0,0,0,0
2022-09-20 09:00:00,7213 W OKLAHOMA AV,53219,2534429.489615431055,366601.853183634579,0,0,1,0,0,0,0,0,0,0
2022-09-20 08:33:10,3789 S MASSACHUSETTS AV,53220,2534607.881510779727,362141.027794845402,0,0,1,0,0,0,0,0,0,0
2022-09-20 08:00:00,2162 S 6TH ST,53215,2556696.797138171270,373274.799960907549,0,0,0,1,0,0,0,0,0,0
2022-09-20 07:53:49,3759 S MASSACHUSETTS AV,53220,2534201.688080176245,362161.254974413663,0,0,1,0,0,0,0,0,0,0
2022-09-20 07:18:13,3785 S MASSACHUSETTS AV,53220,2534544.673487735912,362138.676433455199,0,0,1,0,0,0,0,0,0,0
2022-09-20 07:15:00,4540 W FOND DU LAC AV,53216,2542185.724187680054,402116.566231686622,0,1,0,0,0,0,0,0,0,0
2022-09-20 07:00:00,4221 W NORTH AV,53208,2543387.583219760563,393177.321783099324,0,1,1,0,0,0,0,0,0,0
2022-09-20 07:00:00,8569 N GRANVILLE RD,53224,2522590.309108325746,433951.309749510139,0,1,0,0,0,0,0,0,0,0
2022-09-20 06:04:18,3118 W WELLS ST,53208,2546847.617337913718,386022.661286097020,0,1,0,0,0,0,0,0,0,0
2022-09-20 06:00:00,812 S LAYTON BL,53215,2548766.567506950349,379452.151916012168,0,0,0,0,0,0,0,0,0,1
2022-09-20 05:30:00,2839 N 60TH ST,53210,2537753.053384680301,396742.894726276398,0,1,0,0,0,0,0,0,0,0
2022-09-20 05:30:00,7501 W GREEN TREE RD,53223,2532534.008213958703,422379.611450996250,0,0,0,1,0,0,0,0,0,0
2022-09-20 05:00:00,2366 N BOOTH ST,53212,2560082.609276057221,393993.784248240292,0,1,0,0,0,0,0,0,0,0
2022-09-20 04:56:00,2458 S 11TH ST,53215,2554771.807011196390,371359.654861263931,0,1,0,1,0,0,0,0,0,0
2022-09-20 03:10:00,3236 N 48TH ST,53216,2541334.765619663522,399430.290564589202,0,1,0,1,0,0,0,0,0,0
2022-09-20 02:35:00,3706 W WISCONSIN AV,53208,2545225.772934820503,385252.043702889234,0,0,1,0,0,0,0,0,0,0
2022-09-20 02:27:00,2000 W CAPITOL DR,53206,2551001.985397529788,403932.571107801050,0,1,0,0,0,0,0,0,0,0
2022-09-20 02:00:00,5745 N 41ST ST,53209,2543700.350882841740,415738.181845981628,0,0,0,1,0,0,0,0,0,0
2022-09-20 01:00:00,2639 W VLIET ST,53208,2548544.650055893697,388851.385721810162,0,0,0,0,0,0,1,0,0,0
2022-09-19 23:30:00,2500 N TEUTONIA AV,53206,2553467.314096151851,394693.399007100612,0,1,0,0,0,0,0,0,0,0
2022-09-19 23:30:00,250 E PITTSBURGH AV,53204,2559105.816413517110,382197.345645088702,0,0,0,0,0,1,0,0,0,0
2022-09-19 22:58:00,4031 W CAPITOL DR,53216,2543790.032158330083,403735.372876584530,0,1,0,0,0,0,0,0,0,0
2022-09-19 22:30:00,9511 W BECKETT AV,53225,2525658.247571391985,413725.784719999880,0,0,0,1,0,0,0,0,0,0
2022-09-19 22:15:00,1300 W GRANADA ST,53221,2554421.702224226668,346281.212687373161,0,0,0,0,0,0,0,0,1,0
2022-09-19 22:15:00,2117 W CENTER ST,53206,2550587.645947351120,395981.326688338071,0,0,1,0,0,0,0,0,0,0
2022-09-19 21:59:54,"",53218,2536367.751027957536,413820.754434462637,0,0,1,0,0,0,0,1,0,0
2022-09-19 21:52:39,3355 S 27TH ST,53215,2548148.303875732236,365039.294998817146,0,1,0,0,0,0,0,0,0,0
2022-09-19 21:25:00,4630 S 23RD ST,53221,2550400.142052032053,356751.831005223095,0,1,0,0,0,0,0,0,0,0
2022-09-19 21:00:00,5222 N LOVERS LANE RD,53225,2519152.787622637115,411466.043448429555,0,1,0,0,0,0,0,0,0,0
2022-09-19 21:00:00,2303 W NATIONAL AV,53204,2550173.028105570003,379446.411411613226,0,0,0,0,0,0,0,0,1,0
2022-09-19 21:00:00,7128 W CRAWFORD AV,53220,2534490.735447481275,361829.130254030228,0,0,1,0,0,1,0,0,0,0
2022-09-19 20:20:00,4516 W LLOYD ST,53208,2542340.183021833189,391870.057415060699,0,1,0,0,0,0,0,0,1,0
